"ECO.SITE","ESG"
"R034BY404CO","AW-Deep_Rocky"
"R034XY410CO","AW-Deep_Rocky"
"R034XY402CO","AW-Deep_Rocky"
"R035XY136UT","AW-Deep_Rocky"
"R034BY106UT","AW-Finer_and_Clay_Uplands"
"R034BY006UT","AW-Saline_Bottoms_and_Bottoms"
"R034BY109UT","AW-Saline_Hills"
"R034BY104UT","AW-Saline_Uplands"
"R034XY262CO","AW-Saline_Uplands"
"R034XY298CO","AW-Saline_Uplands"
"R034BY112UT","AW-Saline_Uplands"
"R034BY117UT","AW-Shallow"
"R034XY401CO","AW-Shallow"
"R034XY406CO","AW-Shallow"
"F048AY918CO","Outcrops"
"F048AY449CO","Outcrops"
"R036XY289CO","SAW-Clay_Uplands"
"R036XY325CO","SAW-Finer_Uplands"
"R036XY284CO","SAW-Finer_Uplands"
"R036XY142CO","SAW-Finer_Uplands"
"R048AY247CO","SAW-Finer_Uplands"
"R036XY346CO","SAW-Finer_Uplands"
"R048AY255CO","SAW-Finer_Uplands"
"R034XY327CO","SAW-Finer_Uplands"
"R036XY326CO","SAW-Sandy_Uplands_and_Loamy_Uplands"
"R034BY212UT","SAW-Sandy_Uplands_and_Loamy_Uplands"
"R048AY306UT","SAW-Sandy_Uplands_and_Loamy_Uplands"
"R036XY113CO","SAW-Shallow_and_Deep_Rocky"
"R035XY408CO","SAW-Shallow_and_Deep_Rocky"
"R036XY445CO","SAW-Shallow_and_Deep_Rocky"
"R034BY233UT","SAW-Shallow_and_Deep_Rocky"
"R036XY114CO","SAW-Shallow_and_Deep_Rocky"
"R036XY141CO","SAW-Shallow_and_Deep_Rocky"
"R036XY328CO","SAW-Shallow_and_Deep_Rocky"
"R036XY315UT","SAW-Shallow_and_Deep_Rocky"
"R036XY287CO","SAW-Shallow_and_Deep_Rocky"
"R048AY238CO","SAW-Shallow_and_Deep_Rocky"
"R034XY403CO","SAW-Shallow_and_Deep_Rocky"
"R048AY228CO","SAW-Shallow_and_Deep_Rocky"
"R034BY328CO","SAW-Shallow_and_Deep_Rocky"
"R048AY245CO","SAW-Shallow_and_Deep_Rocky"
