Ecological Site Name,Ecological Site ID,Forb,Grass,Shrub,Tree,Total,Artemisia tridentata (includes ssp. wyomingensis),Artemisia tridentata ssp. vaseyana ,Artemisia tridentata ssp. tridentata ,Coleogyne ramosissima,Quercus gambelii,Pinus edulis and Pinus monophyla,Juniperus spp.*,Populus tremuloides,Pinus ponderosa,Sarcobatus vermiculatus,Atriplex spp.**,Atriplex confertifolia,Sporobolus airoides,C3 Perennial Grasses,C4 Perennial Grasses,Strawman Soil Geomorphic Unit,Final Soil Geomorphic Unit,Climate Zone,Ecological Site Group
"Shallow Loam 10-14\ p.z. Cobbly (JUOS)""",F035XA121AZ,40,145,80,20,285,0,0,0,0,0,14,14,0,0,0,0,0,0,32,170,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Limy Upland 10-14\ p.z. Gravelly (JUOS)""",F035XA122AZ,19,243,94,19,375,0,0,0,0,0,3,8,0,0,0,0,0,0,22,153,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Sandy Loam Upland 10-14\ p.z. Gravelly (JUOS, PIMO)""",F035XA126AZ,17,210,105,18,350,0,0,0,0,0,0,18,0,0,0,0,0,0,6,174,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Shallow Limy Upland 10-14\ p.z. (JUOS)""",F035XA127AZ,18,228,88,18,350,0,0,0,0,0,9,9,0,0,0,0,0,0,21,153,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Sandstone Upland 10-14\ p.z.  (JUOS)""",F035XC322AZ,20,240,120,20,400,8,0,0,0,0,3,15,0,0,0,0,0,0,140,60,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Clay Loam Upland 13-17\ p.z. (PIED, JUOS) """,F035XF602AZ,50,225,175,275,725,70,0,0,0,18,105,105,0,0,0,0,0,0,207,42,FinerUplands,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
"Limestone Hills 13-17\ p.z. (PIED, JUOS)""",F035XF613AZ,20,160,160,20,360,70,0,0,0,0,0,0,0,0,0,0,0,0,110,83,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Limestone Upland 13-17\ p.z. (JUOS, PIED)""",F035XF619AZ,20,135,270,25,450,14,0,0,0,0,15,15,0,0,0,0,0,0,111,115,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Loamy Upland (PIED, JUOS)  13-17\ p.z. (Provisional)""",F035XF625AZ,60,278,168,58,563,83,0,0,0,6,28,14,0,0,0,0,0,0,267,109,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
"Sandstone Upland (JUOS, PIED)  13-17\ p.z. (Provisional)""",F035XF627AZ,14,12,502,211,738,100,0,0,0,60,275,275,0,0,0,0,0,0,13,15,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Sandy Loam Upland (JUOS, PIED) 13-17\ p.z.""",F035XF628AZ,50,250,150,50,500,125,0,0,0,0,18,35,0,0,0,0,0,0,198,55,FinerUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Sandstone Hills 13-17\ p.z. (PIED)  """,F035XF629AZ,15,75,195,90,375,0,0,0,0,0,15,15,0,0,0,0,0,0,43,16,Shallow,VeryShallow,Semiarid_Warm,Semiarid_Warm_VeryShallow
"Clay Loam Upland 13-17\ p.z. (PIED)  """,F035XF630AZ,30,90,165,30,315,63,0,0,0,10,8,8,0,8,0,0,0,0,70,10,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Colluvial Slopes 13-17\ p.z. (PIED)""",F035XF633AZ,23,68,338,23,450,0,0,0,0,16,18,7,0,0,0,0,0,0,48,0,FinerUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Basalt Hills and Mesas 16-35 inches,F035XG006NM,23,388,23,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,80,283,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
south of Gallup 13-16,F036XA001NM,15,273,163,150,600,45,0,0,0,45,90,105,0,0,0,0,0,0,120,135,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
NA,F036XA136NM,100,375,138,188,800,20,0,0,0,20,120,128,0,0,0,0,0,0,140,260,DeepRocky,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Pinyon-Juniper/Skunkbush Sumac Shallow Sandy,F036XB133NM,28,363,190,320,900,23,0,0,0,23,148,90,0,0,0,0,0,0,208,355,Shallow,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
