Climate,SoilGeomorphicUnits,Big_Sage,Mountain_Sage,Basin_Sage,CORA,QUGA,PIED,JUOS,AS,PIPO,SAVE4,Saltbush,Shadescale,Sacaton,C3_Perennial_Grass,C4_Perennial_Grass,Forb,Grass,Shrub,Tree,Total_Foliar,N_plots
Arid_Warm,Breaks,0,2,0,2,0,0,0,0,0,0,0,0,0,1,3,6,14,14,0,32,15
Arid_Warm,Deep_Rocky,1,0,0,1,0,0,2,0,0,0,0,0,0,1,5,6,15,14,2,35,156
Arid_Warm,Finer_and_Clay_Uplands,4,0,0,0,0,0,0,0,0,1,0,0,4,5,12,7,23,10,0,37,112
Arid_Warm,Gypsum,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,5,6,6,0,17,6
Arid_Warm,Saline_Bottoms_and_Bottoms,1,1,0,0,0,0,0,0,0,3,2,1,7,2,10,6,14,9,2,29,117
Arid_Warm,Saline_Hills,3,0,0,0,0,0,0,0,0,2,2,2,2,3,3,7,9,12,1,27,114
Arid_Warm,Saline_Uplands,4,1,0,0,0,0,0,0,0,1,1,1,2,4,5,8,12,12,0,30,261
Arid_Warm,Sandy_Bottoms,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,15,17,29,24,61,4
Arid_Warm,Sandy_and_Loamy_Uplands,3,1,0,2,0,0,1,0,0,0,0,0,1,4,8,6,16,10,2,33,285
Arid_Warm,Shallow,1,0,0,2,0,0,1,0,0,0,0,1,2,2,9,4,14,8,2,28,265
Arid_Warm,Very_Shallow,1,0,0,3,0,1,4,0,0,0,0,1,0,2,2,2,8,10,5,25,70
No_Climate_Group,Outcrops,4,0,0,0,0,0,1,0,0,0,1,1,0,10,3,4,14,14,1,32,42
No_Climate_Group,Riparian,2,2,0,0,0,0,0,0,0,2,0,0,1,18,17,21,49,19,21,79,23
Semiarid_Cool,Bottoms,9,3,2,0,1,0,0,1,0,0,0,0,0,54,0,18,56,35,2,79,8
Semiarid_Cool,Breaks,4,0,12,0,1,0,5,0,0,0,0,0,0,19,0,6,28,26,6,54,11
Semiarid_Cool,Clay_Uplands,4,0,18,0,0,0,0,1,0,0,0,0,0,42,1,23,46,35,1,72,57
Semiarid_Cool,Deep_Rocky,7,1,8,0,3,1,2,1,0,0,0,0,0,25,1,8,27,30,5,59,60
Semiarid_Cool,Saline_Bottoms,8,1,0,0,0,0,0,0,0,11,5,0,0,13,0,1,13,29,0,41,9
Semiarid_Cool,Saline_Hills,7,1,1,0,0,0,0,0,0,0,0,1,0,14,0,7,14,16,0,34,13
Semiarid_Cool,Saline_Sandy_Loamy_Finer_Uplands,14,1,4,0,3,0,0,0,0,0,0,0,0,29,0,9,31,29,3,58,314
Semiarid_Cool,Shallow,4,1,7,0,3,0,1,1,0,0,0,0,0,26,0,10,29,27,5,56,59
Semiarid_Cool,Very_Shallow,6,1,2,0,0,1,2,0,0,0,0,0,0,22,0,8,22,24,3,50,26
Semiarid_warm,Breaks,1,0,2,0,1,3,12,0,0,0,0,0,0,17,1,7,28,15,16,55,17
Semiarid_warm,Clay_Uplands,10,0,5,0,2,0,1,0,0,0,0,0,0,35,1,12,47,23,2,68,72
Semiarid_warm,Finer_Uplands,8,1,3,0,3,2,3,0,0,0,0,0,0,12,6,6,23,17,7,47,272
Semiarid_warm,Gypsum,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,1,13,8,0,20,1
Semiarid_warm,Saline_Bottoms,3,2,0,0,0,0,1,0,0,7,3,1,3,11,8,11,23,19,1,50,38
Semiarid_warm,Saline_Hills,6,1,0,0,0,0,0,0,0,1,1,1,0,11,2,5,14,14,0,32,56
Semiarid_warm,Saline_Uplands,10,1,0,0,0,0,0,0,0,3,1,1,2,12,4,6,20,17,0,40,122
Semiarid_warm,Sandy_Bottoms_and_Bottoms,3,1,2,0,1,1,2,0,0,2,0,0,1,13,8,19,29,14,4,54,50
Semiarid_warm,Sandy_Uplands_and_Loamy_Uplands,8,1,2,0,2,1,2,0,0,1,0,0,0,15,4,8,28,19,5,51,463
Semiarid_warm,Shallow_and_Deep_Rocky,3,0,1,0,1,5,9,0,0,0,0,0,0,8,7,5,18,12,15,46,467
Semiarid_warm,Very_Shallow,3,0,0,1,0,3,8,0,0,0,0,0,0,6,1,4,12,11,13,37,139
